date,team1,score1,location,change1,score1_points,change2,score2_points
January 1 2024,"[<a href=""Japan"" onclick=""handleLink('Japan'); return false;"">Japan</a>, <a href=""Thailand"" onclick=""handleLink('Thailand'); return false;"">Thailand</a>]",5 0,Friendly in Japan,+1 −1,1905 1381,0 0,13 109
January 1 2024,"[<a href=""Hong_Kong"" onclick=""handleLink('Hong_Kong'); return false;"">Hong Kong</a>, <a href=""China"" onclick=""handleLink('China'); return false;"">China</a>]",2 1,Friendly in the United Arab Emirates,+18 −18,1083 1431,+4 −4,175 97
January 2 2024,"[<a href=""Libya"" onclick=""handleLink('Libya'); return false;"">Libya</a>, <a href=""Indonesia"" onclick=""handleLink('Indonesia'); return false;"">Indonesia</a>]",4 0,Friendly in Turkey,+15 −15,1375 1266,+4 −3,112 149
January 4 2024,"[<a href=""Tajikistan"" onclick=""handleLink('Tajikistan'); return false;"">Tajikistan</a>, <a href=""Hong_Kong"" onclick=""handleLink('Hong_Kong'); return false;"">Hong Kong</a>]",2 1,Friendly in the United Arab Emirates,+3 −3,1377 1080,+2 0,111 175
January 4 2024,"[<a href=""Saudi_Arabia"" onclick=""handleLink('Saudi_Arabia'); return false;"">Saudi Arabia</a>, <a href=""Lebanon"" onclick=""handleLink('Lebanon'); return false;"">Lebanon</a>]",1 0,Friendly in Qatar,+3 −3,1588 1309,0 0,63 136
January 5 2024,"[<a href=""Togo"" onclick=""handleLink('Togo'); return false;"">Togo</a>, <a href=""Algeria"" onclick=""handleLink('Algeria'); return false;"">Algeria</a>]",0 3,Friendly in Togo,−7 +7,1384 1733,−2 +2,108 37
January 5 2024,"[<a href=""Qatar"" onclick=""handleLink('Qatar'); return false;"">Qatar</a>, <a href=""Jordan"" onclick=""handleLink('Jordan'); return false;"">Jordan</a>]",1 2,Friendly in Qatar,−14 +14,1521 1517,−3 +1,73 75
January 5 2024,"[<a href=""Libya"" onclick=""handleLink('Libya'); return false;"">Libya</a>, <a href=""Indonesia"" onclick=""handleLink('Indonesia'); return false;"">Indonesia</a>]",2 1,Friendly in Turkey,+7 −7,1382 1259,+4 −3,109 152
January 5 2024,"[<a href=""Kyrgyzstan"" onclick=""handleLink('Kyrgyzstan'); return false;"">Kyrgyzstan</a>, <a href=""Syria"" onclick=""handleLink('Syria'); return false;"">Syria</a>]",1 1,Friendly in the United Arab Emirates,+5 −5,1254 1420,+1 −1,154 100
January 5 2024,"[<a href=""Iran"" onclick=""handleLink('Iran'); return false;"">Iran</a>, <a href=""Burkina_Faso"" onclick=""handleLink('Burkina_Faso'); return false;"">Burkina Faso</a>]",2 1,Friendly in Iran,+2 −2,1828 1563,0 0,20 66
January 6 2024,"[<a href=""United_Arab_Emirates"" onclick=""handleLink('United_Arab_Emirates'); return false;"">United Arab Emirates</a>, <a href=""Oman"" onclick=""handleLink('Oman'); return false;"">Oman</a>]",0 1,Friendly in the United Arab Emirates,−12 +12,1517 1566,−3 +1,74 66
January 6 2024,"[<a href=""Tunisia"" onclick=""handleLink('Tunisia'); return false;"">Tunisia</a>, <a href=""Mauritania"" onclick=""handleLink('Mauritania'); return false;"">Mauritania</a>]",0 0,Friendly in Tunisia,−9 +9,1731 1401,−1 +1,37 104
January 6 2024,"[<a href=""South_Korea"" onclick=""handleLink('South_Korea'); return false;"">South Korea</a>, <a href=""Iraq"" onclick=""handleLink('Iraq'); return false;"">Iraq</a>]",1 0,Friendly in the United Arab Emirates,+5 −5,1803 1615,+2 −3,22 58
