date,location,scrape_date,team_1,team_2,rank_1,rank_2,elo_1,elo_2,elo_diff_1,team_1_w,draw,team_2_w,team_1_odds,draw_odds,team_2_odds
2024-07-06,Copa América in the United States,2024-07-06,Brazil,Uruguay,6,5,2021,2027,-6,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-07-06,Copa América in the United States,2024-07-06,Colombia,Panama,4,31,2030,1747,283,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-07-07,COSAFA Cup in South Africa,2024-07-06,Angola,Namibia,77,106,1527,1402,125,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-07-07,COSAFA Cup in South Africa,2024-07-06,Comoros,Mozambique,125,100,1339,1424,-85,0.2950955943474647,0.28345802161263506,0.42144638403990026,3.388732394366197,3.5278592375366573,2.3727810650887573
2024-07-09,Euro Championship in Germany,2024-07-06,France,Spain,3,2,2069,2112,-43,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-07-09,Copa América in the United States,2024-07-06,Argentina,Canada,1,31,2142,1747,395,0.7521367521367521,0.16666666666666666,0.0811965811965812,1.3295454545454546,6.0,12.31578947368421
2024-07-10,Euro Championship in Germany,2024-07-06,England,Netherlands,8,7,1971,1989,-18,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-07-27,Friendly in the United States,2024-07-06,El Salvador,Guatemala,110,86,1389,1485,-96,0.2950955943474647,0.28345802161263506,0.42144638403990026,3.388732394366197,3.5278592375366573,2.3727810650887573
2024-09-04,CONCACAF League C in Anguilla,2024-07-06,Anguilla,Turks and Caicos,233,219,599,690,-91,0.2950955943474647,0.28345802161263506,0.42144638403990026,3.388732394366197,3.5278592375366573,2.3727810650887573
2024-09-04,CONCACAF League C in the Br Virgin Islands,2024-07-06,British Virgin Islands,Cayman Islands,227,207,651,825,-174,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-09-04,CONCACAF League C in the US Virgin Isl,2024-07-06,US Virgin Islands,Bahamas,230,209,618,810,-192,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-09-05,World Cup qualifier in Australia,2024-07-06,Australia,Bahrain,27,92,1774,1453,321,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-09-05,World Cup qualifier in Iran,2024-07-06,Iran,Kyrgyzstan,21,145,1807,1279,528,0.8936170212765957,0.06382978723404255,0.0425531914893617,1.119047619047619,15.666666666666668,23.5
2024-09-05,World Cup qualifier in Iraq,2024-07-06,Iraq,Oman,51,76,1660,1529,131,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-09-05,World Cup qualifier in Japan,2024-07-06,Japan,China,17,107,1856,1396,460,0.8354430379746836,0.13924050632911392,0.02531645569620253,1.196969696969697,7.1818181818181825,39.5
2024-09-05,World Cup qualifier in Jordan,2024-07-06,Jordan,Kuwait,53,127,1635,1334,301,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-09-05,World Cup qualifier in Qatar,2024-07-06,Qatar,United Arab Emirates,55,83,1631,1501,130,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-09-05,World Cup qualifier in Saudi Arabia,2024-07-06,Saudi Arabia,Indonesia,63,129,1587,1330,257,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-09-05,World Cup qualifier in South Korea,2024-07-06,South Korea,Palestine,35,103,1738,1406,332,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-09-05,World Cup qualifier in Uzbekistan,2024-07-06,Uzbekistan,North Korea,46,108,1680,1395,285,0.6589861751152074,0.22580645161290322,0.1152073732718894,1.5174825174825175,4.428571428571429,8.68
2024-09-05,Asian Cup qualifier in Brunei,2024-07-06,Brunei,Macao,228,225,640,665,-25,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
