date,team1,score1,location,change1,score1_points,change2,score2_points
Jan 2 2023,Thailand> Cambodia>,3 1,Southeast Asian Champ in Thailand,+2 −2,1383 877,+1 0,109 202
Jan 2 2023,Philippines> Indonesia>,1 2,Southeast Asian Champ in the Philippines,−14 +14,1047 1288,−1 +1,184 141
Jan 3 2023,Vietnam> Myanmar>,3 0,Southeast Asian Champ in Vietnam,+2 −2,1400 894,0 0,102 200
Jan 3 2023,Malaysia> Singapore>,4 1,Southeast Asian Champ in Malaysia,+19 −19,1232 1128,+5 −3,154 172
Jan 6 2023,Indonesia> Vietnam>,0 0,Southeast Asian Champ in Indonesia,+1 −1,1289 1399,0 0,141 102
Jan 6 2023,Saudi Arabia> Yemen>,2 0,Gulf Cup in Iraq,+2 −2,1645 1096,0 0,54 176
Jan 6 2023,Iraq> Oman>,0 0,Gulf Cup in Iraq,−6 +6,1568 1571,−2 +1,68 67
Jan 7 2023,Malaysia> Thailand>,1 0,Southeast Asian Champ in Malaysia,+23 −23,1255 1360,+6 −7,148 116
Jan 7 2023,Qatar> Kuwait>,2 0,Gulf Cup in Iraq,+11 −11,1589 1302,+1 −4,64 137
Jan 7 2023,Bahrain> United Arab Emirates>,2 1,Gulf Cup in Iraq,+20 −20,1514 1472,+1 −3,79 84
Jan 8 2023,Estonia> Iceland>,1 1,Friendly in Portugal,+3 −3,1433 1540,0 −1,94 72
Jan 9 2023,Vietnam> Indonesia>,2 0,Southeast Asian Champ in Vietnam,+14 −14,1413 1275,+2 −1,100 142
Jan 9 2023,Oman> Yemen>,3 2,Gulf Cup in Iraq,+2 −2,1573 1094,0 0,67 176
Jan 9 2023,Iraq> Saudi Arabia>,2 0,Gulf Cup in Iraq,+28 −28,1596 1617,+6 −4,62 58
Jan 9 2023,Sweden> Finland>,2 0,Friendly in Portugal,+12 −12,1771 1677,0 −2,30 47
Jan 10 2023,Thailand> Malaysia>,3 0,Southeast Asian Champ in Thailand,+16 −16,1376 1239,+6 −5,110 153
Jan 10 2023,Kuwait> United Arab Emirates>,1 0,Gulf Cup in Iraq,+29 −29,1331 1443,+13 −7,124 91
Jan 10 2023,Bahrain> Qatar>,2 1,Gulf Cup in Iraq,+24 −24,1538 1565,+4 −3,75 68
Jan 12 2023,Oman> Saudi Arabia>,2 1,Gulf Cup in Iraq,+23 −23,1596 1594,+4 −6,62 64
Jan 12 2023,Iraq> Yemen>,5 0,Gulf Cup in Iraq,+2 −2,1598 1092,+1 −1,61 177
Jan 12 2023,Sweden> Iceland>,2 1,Friendly in Portugal,+4 −4,1775 1536,+1 −3,29 75
