date,team1,team2,score1,location,change1,score1_points,change2,score2_points
January 1 2024,Japan,Thailand,5 0,Friendly in Japan,+1 −1,1905 1381,0 0,13 109
January 1 2024,Hong Kong,China,2 1,Friendly in the United Arab Emirates,+18 −18,1083 1431,+4 −4,175 97
January 2 2024,Libya,Indonesia,4 0,Friendly in Turkey,+15 −15,1375 1266,+4 −3,112 149
January 4 2024,Tajikistan,Hong Kong,2 1,Friendly in the United Arab Emirates,+3 −3,1377 1080,+2 0,111 175
January 4 2024,Saudi Arabia,Lebanon,1 0,Friendly in Qatar,+3 −3,1588 1309,0 0,63 136
January 5 2024,Togo,Algeria,0 3,Friendly in Togo,−7 +7,1384 1733,−2 +2,108 37
January 5 2024,Qatar,Jordan,1 2,Friendly in Qatar,−14 +14,1521 1517,−3 +1,73 75
January 5 2024,Libya,Indonesia,2 1,Friendly in Turkey,+7 −7,1382 1259,+4 −3,109 152
January 5 2024,Kyrgyzstan,Syria,1 1,Friendly in the United Arab Emirates,+5 −5,1254 1420,+1 −1,154 100
January 5 2024,Iran,Burkina Faso,2 1,Friendly in Iran,+2 −2,1828 1563,0 0,20 66
January 6 2024,United Arab Emirates,Oman,0 1,Friendly in the United Arab Emirates,−12 +12,1517 1566,−3 +1,74 66
January 6 2024,Tunisia,Mauritania,0 0,Friendly in Tunisia,−9 +9,1731 1401,−1 +1,37 104
January 6 2024,South Korea,Iraq,1 0,Friendly in the United Arab Emirates,+5 −5,1803 1615,+2 −3,22 58
January 6 2024,Mozambique,Lesotho,2 0,Friendly in South Africa,+10 −10,1367 1234,+2 −1,115 157
January 6 2024,Mali,Guinea-Bissau,6 2,Friendly in Mali,+6 −6,1622 1410,+3 0,55 101
January 6 2024,Ivory Coast,Sierra Leone,5 1,Friendly in Ivory Coast,+3 −3,1647 1312,0 0,50 135
January 6 2024,Australia,Bahrain,2 0,Friendly in the United Arab Emirates,+4 −4,1787 1444,0 0,27 93
January 6 2024,Angola,Democratic Republic of Congo,0 0,Friendly in the United Arab Emirates,+3 −3,1389 1497,0 −2,107 79
January 7 2024,Uzbekistan,Palestine,1 0,Friendly in Qatar,+4 −4,1645 1403,0 0,51 103
January 7 2024,Egypt,Tanzania,2 0,Friendly in Egypt,+2 −2,1688 1349,0 −2,47 120
January 8 2024,Senegal,Niger,1 0,Friendly in Senegal,+1 −1,1732 1239,0 0,37 156
January 8 2024,Malaysia,Syria,2 2,Friendly in Qatar,+3 −3,1303 1417,+2 0,140 100
January 8 2024,Guinea,Nigeria,2 0,Friendly in the United Arab Emirates,+22 −22,1449 1569,+5 −2,93 64
January 8 2024,Ghana,Namibia,0 0,Friendly in Ghana,−7 +7,1544 1388,−1 +2,69 108
January 8 2024,Botswana,Mozambique,1 1,Friendly in South Africa,+1 −1,1348 1366,+1 −1,121 116
January 9 2024,Palestine,Saudi Arabia,0 0,Friendly in Qatar,+5 −5,1408 1583,0 0,103 62
January 9 2024,Kyrgyzstan,Vietnam,2 1,Friendly in Qatar,+14 −14,1268 1377,+5 −5,149 111
January 9 2024,Japan,Jordan,6 1,Friendly in Qatar,+4 −4,1909 1513,0 −1,13 75
January 9 2024,Iran,Indonesia,5 0,Friendly in Qatar,+1 −1,1829 1258,0 −1,20 153
January 9 2024,Equatorial Guinea,Djibouti,1 1,Friendly in Equatorial Guinea,−10 +10,1507 924,−2 +1,76 196
January 9 2024,Cameroon,Zambia,1 1,Friendly in Saudi Arabia,−4 +4,1615 1494,−1 +2,57 81
January 9 2024,Algeria,Burundi,4 0,Friendly in Togo,+3 −3,1736 1288,0 −1,36 144
January 10 2024,Tunisia,Cape Verde,2 0,Friendly in Tunisia,+4 −4,1735 1478,+1 −2,37 88
January 10 2024,South Africa,Lesotho,0 0,Friendly in South Africa,−8 +8,1482 1242,−1 +1,85 156
January 10 2024,Saudi Arabia,Hong Kong,2 0,Friendly in Qatar,+2 −2,1585 1078,0 −2,62 177
January 10 2024,Burkina Faso,Democratic Republic of Congo,2 1,Friendly in the United Arab Emirates,+8 −8,1571 1489,+3 −4,64 83
