game_id,date,location,team,opp,score,opp_score,old_elo,opp_elo,elo_diff,result_class
2024-01-01Hong KongChina,2024-01-01,Friendly in the United Arab Emirates,Hong Kong,China,2,1,1065,1449,-384,T1
2024-01-01Hong KongChina,2024-01-01,Friendly in the United Arab Emirates,China,Hong Kong,1,2,1449,1065,384,T2
2024-01-01JapanThailand,2024-01-01,Friendly in Japan,Japan,Thailand,5,0,1904,1382,522,T1
2024-01-01JapanThailand,2024-01-01,Friendly in Japan,Thailand,Japan,0,5,1382,1904,-522,T2
2024-01-02LibyaIndonesia,2024-01-02,Friendly in Turkey,Libya,Indonesia,4,0,1360,1281,79,T1
2024-01-02LibyaIndonesia,2024-01-02,Friendly in Turkey,Indonesia,Libya,0,4,1281,1360,-79,T2
2024-01-04Saudi ArabiaLebanon,2024-01-04,Friendly in Qatar,Saudi Arabia,Lebanon,1,0,1585,1312,273,T1
2024-01-04Saudi ArabiaLebanon,2024-01-04,Friendly in Qatar,Lebanon,Saudi Arabia,0,1,1312,1585,-273,T2
2024-01-04TajikistanHong Kong,2024-01-04,Friendly in the United Arab Emirates,Hong Kong,Tajikistan,1,2,1083,1374,-291,T2
2024-01-04TajikistanHong Kong,2024-01-04,Friendly in the United Arab Emirates,Tajikistan,Hong Kong,2,1,1374,1083,291,T1
2024-01-05IranBurkina Faso,2024-01-05,Friendly in Iran,Iran,Burkina Faso,2,1,1826,1565,261,T1
2024-01-05IranBurkina Faso,2024-01-05,Friendly in Iran,Burkina Faso,Iran,1,2,1565,1826,-261,T2
2024-01-05KyrgyzstanSyria,2024-01-05,Friendly in the United Arab Emirates,Syria,Kyrgyzstan,1,1,1425,1249,176,D
2024-01-05KyrgyzstanSyria,2024-01-05,Friendly in the United Arab Emirates,Kyrgyzstan,Syria,1,1,1249,1425,-176,D
2024-01-05LibyaIndonesia,2024-01-05,Friendly in Turkey,Libya,Indonesia,2,1,1375,1266,109,T1
2024-01-05LibyaIndonesia,2024-01-05,Friendly in Turkey,Indonesia,Libya,1,2,1266,1375,-109,T2
2024-01-05QatarJordan,2024-01-05,Friendly in Qatar,Qatar,Jordan,1,2,1535,1503,32,T2
2024-01-05QatarJordan,2024-01-05,Friendly in Qatar,Jordan,Qatar,2,1,1503,1535,-32,T1
2024-01-05TogoAlgeria,2024-01-05,Friendly in Togo,Algeria,Togo,3,0,1726,1391,335,T1
2024-01-05TogoAlgeria,2024-01-05,Friendly in Togo,Togo,Algeria,0,3,1391,1726,-335,T2
2024-01-06AngolaDemocratic Republic of Congo,2024-01-06,Friendly in the United Arab Emirates,Angola,Democratic Republic of Congo,0,0,1386,1500,-114,D
2024-01-06AngolaDemocratic Republic of Congo,2024-01-06,Friendly in the United Arab Emirates,Democratic Republic of Congo,Angola,0,0,1500,1386,114,D
2024-01-06AustraliaBahrain,2024-01-06,Friendly in the United Arab Emirates,Australia,Bahrain,2,0,1783,1448,335,T1
2024-01-06AustraliaBahrain,2024-01-06,Friendly in the United Arab Emirates,Bahrain,Australia,0,2,1448,1783,-335,T2
2024-01-06Ivory CoastSierra Leone,2024-01-06,Friendly in Ivory Coast,Ivory Coast,Sierra Leone,5,1,1644,1315,329,T1
2024-01-06Ivory CoastSierra Leone,2024-01-06,Friendly in Ivory Coast,Sierra Leone,Ivory Coast,1,5,1315,1644,-329,T2
2024-01-06MaliGuinea-Bissau,2024-01-06,Friendly in Mali,Mali,Guinea-Bissau,6,2,1616,1416,200,T1
2024-01-06MaliGuinea-Bissau,2024-01-06,Friendly in Mali,Guinea-Bissau,Mali,2,6,1416,1616,-200,T2
2024-01-06MozambiqueLesotho,2024-01-06,Friendly in South Africa,Mozambique,Lesotho,2,0,1357,1244,113,T1
2024-01-06MozambiqueLesotho,2024-01-06,Friendly in South Africa,Lesotho,Mozambique,0,2,1244,1357,-113,T2
2024-01-06South KoreaIraq,2024-01-06,Friendly in the United Arab Emirates,South Korea,Iraq,1,0,1798,1620,178,T1
2024-01-06South KoreaIraq,2024-01-06,Friendly in the United Arab Emirates,Iraq,South Korea,0,1,1620,1798,-178,T2
2024-01-06TunisiaMauritania,2024-01-06,Friendly in Tunisia,Mauritania,Tunisia,0,0,1392,1740,-348,D
2024-01-06TunisiaMauritania,2024-01-06,Friendly in Tunisia,Tunisia,Mauritania,0,0,1740,1392,348,D
2024-01-06United Arab EmiratesOman,2024-01-06,Friendly in the United Arab Emirates,United Arab Emirates,Oman,0,1,1529,1554,-25,T2
2024-01-06United Arab EmiratesOman,2024-01-06,Friendly in the United Arab Emirates,Oman,United Arab Emirates,1,0,1554,1529,25,T1
2024-01-07EgyptTanzania,2024-01-07,Friendly in Egypt,Tanzania,Egypt,0,2,1351,1686,-335,T2
2024-01-07EgyptTanzania,2024-01-07,Friendly in Egypt,Egypt,Tanzania,2,0,1686,1351,335,T1
2024-01-07UzbekistanPalestine,2024-01-07,Friendly in Qatar,Uzbekistan,Palestine,1,0,1641,1407,234,T1
2024-01-07UzbekistanPalestine,2024-01-07,Friendly in Qatar,Palestine,Uzbekistan,0,1,1407,1641,-234,T2
2024-01-08BotswanaMozambique,2024-01-08,Friendly in South Africa,Botswana,Mozambique,1,1,1347,1367,-20,D
2024-01-08BotswanaMozambique,2024-01-08,Friendly in South Africa,Mozambique,Botswana,1,1,1367,1347,20,D
2024-01-08GhanaNamibia,2024-01-08,Friendly in Ghana,Ghana,Namibia,0,0,1551,1381,170,D
