date,location,game,team_1,draw,team_2
2024-07-10,Euro Championship in Germany,England vs Netherlands,3.22,3.19,2.66
2024-07-10,Copa América in the United States,Colombia vs Uruguay,2.66,3.21,3.2
2024-07-27,Friendly in the United States,El Salvador vs Guatemala,3.39,3.53,2.37
2024-09-02,Friendly tournament in Fiji,Fiji vs Solomon Islands,3.22,3.19,2.66
2024-09-04,CONCACAF League C in Anguilla,Anguilla vs Turks and Caicos,3.39,3.53,2.37
2024-09-04,CONCACAF League C in the Br Virgin Islands,British Virgin Islands vs Cayman Islands,5.33,3.9,1.8
2024-09-04,CONCACAF League C in the US Virgin Isl,US Virgin Islands vs Bahamas,5.33,3.9,1.8
2024-09-05,World Cup qualifier in Australia,Australia vs Bahrain,1.4,5.36,10.05
2024-09-05,World Cup qualifier in Iran,Iran vs Kyrgyzstan,1.12,15.67,23.5
2024-09-05,World Cup qualifier in Iraq,Iraq vs Oman,2.09,3.46,4.31
2024-09-05,World Cup qualifier in Japan,Japan vs China,1.2,7.18,39.5
2024-09-05,World Cup qualifier in Jordan,Jordan vs Kuwait,1.4,5.36,10.05
2024-09-05,World Cup qualifier in Qatar,Qatar vs United Arab Emirates,2.09,3.46,4.31
2024-09-05,World Cup qualifier in Saudi Arabia,Saudi Arabia vs Indonesia,1.52,4.43,8.68
2024-09-05,World Cup qualifier in South Korea,South Korea vs Palestine,1.4,5.36,10.05
2024-09-05,World Cup qualifier in Uzbekistan,Uzbekistan vs North Korea,1.52,4.43,8.68
2024-09-05,Asian Cup qualifier in Brunei,Brunei vs Macao,3.22,3.19,2.66
2024-09-05,Asian Cup qualifier in East Timor,East Timor vs Mongolia,5.33,3.9,1.8
2024-09-05,Asian Cup qualifier in Sri Lanka,Sri Lanka vs Cambodia,5.33,3.9,1.8
2024-09-05,European League A in Denmark,Denmark vs Switzerland,3.39,3.53,2.37
2024-09-05,European League A in Portugal,Portugal vs Croatia,2.66,3.21,3.2
2024-09-05,European League A in Scotland,Scotland vs Poland,2.66,3.21,3.2
2024-09-05,European League A in Serbia,Serbia vs Spain,9.88,5.57,1.39
2024-09-05,European League C in Azerbaijan,Azerbaijan vs Sweden,5.33,3.9,1.8
2024-09-05,European League C in Belarus,Belarus vs Bulgaria,3.39,3.53,2.37
2024-09-05,European League C in Estonia,Estonia vs Slovakia,9.88,5.57,1.39
2024-09-05,European League C in Northern Ireland,Northern Ireland vs Luxembourg,2.66,3.21,3.2
2024-09-05,European League D in San Marino,San Marino vs Liechtenstein,5.33,3.9,1.8
2024-09-05,Friendly tournament in Fiji,Hong Kong vs Solomon Islands,5.33,3.9,1.8
2024-09-05,World Cup qualifier in Argentina,Argentina vs Chile,1.3,5.37,23.0
2024-09-05,World Cup qualifier in Bolivia,Bolivia vs Venezuela,8.77,4.33,1.53
2024-09-05,World Cup qualifier in Brazil,Brazil vs Ecuador,1.81,3.86,5.35
2024-09-05,World Cup qualifier in Peru,Peru vs Colombia,9.88,5.57,1.39
2024-09-05,World Cup qualifier in Uruguay,Uruguay vs Paraguay,1.33,6.0,12.32
2024-09-05,CONCACAF League A in Costa Rica,Costa Rica vs Guadeloupe,1.4,5.36,10.05
2024-09-05,CONCACAF League A in Guatemala,Guatemala vs Martinique,2.66,3.21,3.2
2024-09-05,CONCACAF League A in Guyana,Guyana vs Suriname,3.22,3.19,2.66
2024-09-05,CONCACAF League B in Bonaire,Bonaire vs St Vincent/Gren,6.4,4.24,1.64
2024-09-05,CONCACAF League B in Montserrat,Montserrat vs El Salvador,12.57,5.89,1.33
2024-09-06,European League A in Belgium,Belgium vs Israel,1.33,6.0,12.32
2024-09-06,European League A in France,France vs Italy,1.81,3.86,5.35
2024-09-06,European League B in Iceland,Iceland vs Montenegro,2.66,3.21,3.2
