date,teams,location,rank,elo,win_pct,scrape_date
Sat Jul 6,Brazil> Uruguay>,Copa América in the United States,6 5,2021 2027,49% 51%,2024-07-06
Sat Jul 6,Colombia> Panama>,Copa América in the United States,4 31,2030 1747,84% 16%,2024-07-06
Sun Jul 7,Angola> Namibia>,COSAFA Cup in South Africa,77 106,1527 1402,67% 33%,2024-07-06
Sun Jul 7,Comoros> Mozambique>,COSAFA Cup in South Africa,125 100,1339 1424,38% 62%,2024-07-06
Tue Jul 9,France> Spain>,Euro Championship in Germany,3 2,2069 2112,44% 56%,2024-07-06
Tue Jul 9,Argentina> Canada>,Copa América in the United States,1 31,2142 1747,91% 9%,2024-07-06
Wed Jul 10,England> Netherlands>,Euro Championship in Germany,8 7,1971 1989,47% 53%,2024-07-06
Sat Jul 27,El Salvador> Guatemala>,Friendly in the United States,110 86,1389 1485,37% 63%,2024-07-06
Wed Sep 4,Anguilla> Turks and Caicos>,CONCACAF League C in Anguilla,233 219,599 690,51% 49%,2024-07-06
Wed Sep 4,British Virgin Islands> Cayman Islands>,CONCACAF League C in the Br Virgin Islands,227 207,651 825,40% 60%,2024-07-06
Wed Sep 4,US Virgin Islands> Bahamas>,CONCACAF League C in the US Virgin Isl,230 209,618 810,37% 63%,2024-07-06
Thu Sep 5,Australia> Bahrain>,World Cup qualifier in Australia,27 92,1774 1453,92% 8%,2024-07-06
Thu Sep 5,Iran> Kyrgyzstan>,World Cup qualifier in Iran,21 145,1807 1279,97% 3%,2024-07-06
Thu Sep 5,Iraq> Oman>,World Cup qualifier in Iraq,51 76,1660 1529,79% 21%,2024-07-06
Thu Sep 5,Japan> China>,World Cup qualifier in Japan,17 107,1856 1396,96% 4%,2024-07-06
Thu Sep 5,Jordan> Kuwait>,World Cup qualifier in Jordan,53 127,1635 1334,91% 9%,2024-07-06
Thu Sep 5,Qatar> United Arab Emirates>,World Cup qualifier in Qatar,55 83,1631 1501,79% 21%,2024-07-06
Thu Sep 5,Saudi Arabia> Indonesia>,World Cup qualifier in Saudi Arabia,63 129,1587 1330,89% 11%,2024-07-06
Thu Sep 5,South Korea> Palestine>,World Cup qualifier in South Korea,35 103,1738 1406,92% 8%,2024-07-06
Thu Sep 5,Uzbekistan> North Korea>,World Cup qualifier in Uzbekistan,46 108,1680 1395,90% 10%,2024-07-06
Thu Sep 5,Brunei> Macao>,Asian Cup qualifier in Brunei,228 225,640 665,61% 39%,2024-07-06
Thu Sep 5,East Timor> Mongolia>,Asian Cup qualifier in East Timor,231 210,610 790,39% 61%,2024-07-06
Thu Sep 5,Sri Lanka> Cambodia>,Asian Cup qualifier in Sri Lanka,220 205,688 842,42% 58%,2024-07-06
Thu Sep 5,Denmark> Switzerland>,European League A in Denmark,19 13,1816 1904,52% 48%,2024-07-06
