rounded_elo,result_class,count,total_c,pct
-1200,T1,0.0,3,0.0
-1200,D,0.0,3,0.0
-1200,T2,3.0,3,1.0
-1150,T1,0.0,3,0.0
-1150,D,0.0,3,0.0
-1150,T2,3.0,3,1.0
-1100,T1,0.0,5,0.0
-1100,D,0.0,5,0.0
-1100,T2,5.0,5,1.0
-1050,T1,0.0,6,0.0
-1050,D,0.0,6,0.0
-1050,T2,6.0,6,1.0
-1000,T1,0.0,13,0.0
-1000,D,0.0,13,0.0
-1000,T2,13.0,13,1.0
-950,T1,0.0,11,0.0
-950,D,0.0,11,0.0
-950,T2,11.0,11,1.0
-900,T1,0.0,19,0.0
-900,D,0.0,19,0.0
-900,T2,19.0,19,1.0
-850,T1,0.0,31,0.0
-850,D,0.0,31,0.0
-850,T2,31.0,31,1.0
-800,T1,0.0,46,0.0
-800,D,0.0,46,0.0
-800,T2,46.0,46,1.0
-750,T1,0.0,59,0.0
-750,D,1.0,59,0.01694915254237288
-750,T2,58.0,59,0.9830508474576272
-700,T1,1.0,67,0.014925373134328358
-700,D,3.0,67,0.04477611940298507
-700,T2,63.0,67,0.9402985074626866
-650,T1,0.0,93,0.0
-650,D,5.0,93,0.053763440860215055
-650,T2,88.0,93,0.946236559139785
-600,T1,7.0,120,0.058333333333333334
-600,D,11.0,120,0.09166666666666666
-600,T2,102.0,120,0.85
-550,T1,8.0,196,0.04081632653061224
-550,D,12.0,196,0.061224489795918366
-550,T2,176.0,196,0.8979591836734694
-500,T1,6.0,230,0.02608695652173913
-500,D,31.0,230,0.13478260869565217
-500,T2,193.0,230,0.8391304347826087
-450,T1,13.0,325,0.04
-450,D,61.0,325,0.18769230769230769
-450,T2,251.0,325,0.7723076923076924
-400,T1,37.0,466,0.07939914163090128
-400,D,79.0,466,0.16952789699570817
-400,T2,350.0,466,0.7510729613733905
-350,T1,57.0,564,0.10106382978723404
-350,D,102.0,564,0.18085106382978725
-350,T2,405.0,564,0.7180851063829787
-300,T1,74.0,652,0.11349693251533742
-300,D,151.0,652,0.23159509202453987
-300,T2,427.0,652,0.6549079754601227
-250,T1,120.0,768,0.15625
-250,D,181.0,768,0.23567708333333334
-250,T2,467.0,768,0.6080729166666666
-200,T1,174.0,930,0.1870967741935484
-200,D,238.0,930,0.25591397849462366
-200,T2,518.0,930,0.556989247311828
-150,T1,236.0,1033,0.22846079380445306
-150,D,301.0,1033,0.29138431752178123
-150,T2,496.0,1033,0.4801548886737657
-100,T1,356.0,1208,0.2947019867549669
-100,D,344.0,1208,0.2847682119205298
-100,T2,508.0,1208,0.4205298013245033
-50,T1,374.0,1208,0.30960264900662254
-50,D,380.0,1208,0.31456953642384106
-50,T2,454.0,1208,0.3758278145695364
0,T1,456.0,1213,0.3759274525968673
0,D,379.0,1213,0.3124484748557296
0,T2,378.0,1213,0.31162407254740315
50,T1,502.0,1201,0.417985012489592
50,D,343.0,1201,0.28559533721898417
50,T2,356.0,1201,0.2964196502914238
100,T1,500.0,1042,0.4798464491362764
100,D,301.0,1042,0.2888675623800384
100,T2,241.0,1042,0.23128598848368523
150,T1,521.0,939,0.5548455804046858
150,D,243.0,939,0.25878594249201275
150,T2,175.0,939,0.18636847710330137
200,T1,467.0,766,0.6096605744125326
200,D,181.0,766,0.2362924281984334
200,T2,118.0,766,0.15404699738903394
250,T1,431.0,654,0.6590214067278287
250,D,148.0,654,0.22629969418960244
250,T2,75.0,654,0.11467889908256881
300,T1,402.0,564,0.7127659574468085
300,D,106.0,564,0.1879432624113475
300,T2,56.0,564,0.09929078014184398
350,T1,353.0,469,0.7526652452025586
350,D,78.0,469,0.16631130063965885
350,T2,38.0,469,0.08102345415778252
400,T1,248.0,322,0.7701863354037267
400,D,60.0,322,0.18633540372670807
400,T2,14.0,322,0.043478260869565216
450,T1,198.0,237,0.8354430379746836
450,D,33.0,237,0.13924050632911392
450,T2,6.0,237,0.02531645569620253
500,T1,169.0,189,0.8941798941798942
500,D,12.0,189,0.06349206349206349
500,T2,8.0,189,0.042328042328042326
550,T1,107.0,124,0.8629032258064516
550,D,10.0,124,0.08064516129032258
550,T2,7.0,124,0.056451612903225805
600,T1,89.0,95,0.9368421052631579
600,D,6.0,95,0.06315789473684211
600,T2,0.0,95,0.0
650,T1,64.0,68,0.9411764705882353
650,D,3.0,68,0.04411764705882353
650,T2,1.0,68,0.014705882352941176
700,T1,58.0,59,0.9830508474576272
700,D,1.0,59,0.01694915254237288
700,T2,0.0,59,0.0
750,T1,46.0,46,1.0
750,D,0.0,46,0.0
750,T2,0.0,46,0.0
800,T1,31.0,31,1.0
800,D,0.0,31,0.0
800,T2,0.0,31,0.0
850,T1,20.0,20,1.0
850,D,0.0,20,0.0
850,T2,0.0,20,0.0
900,T1,11.0,11,1.0
900,D,0.0,11,0.0
900,T2,0.0,11,0.0
950,T1,13.0,13,1.0
950,D,0.0,13,0.0
950,T2,0.0,13,0.0
1000,T1,6.0,6,1.0
1000,D,0.0,6,0.0
1000,T2,0.0,6,0.0
1050,T1,5.0,5,1.0
1050,D,0.0,5,0.0
1050,T2,0.0,5,0.0
1100,T1,3.0,3,1.0
1100,D,0.0,3,0.0
1100,T2,0.0,3,0.0
1150,T1,3.0,3,1.0
1150,D,0.0,3,0.0
1150,T2,0.0,3,0.0
1200,T1,3.0,3,1.0
1200,D,0.0,3,0.0
1200,T2,0.0,3,0.0
